Plant_ID,Endophyte,Endo_Confirmed,Rs_Strain,Chamber_Shelf,Start_LeafLength,Start_Tillers,X2DAI.020117,X3DAI.020217,X4DAI.020317,X7DAI.020617,X8DAI.020717,X9DAI.020817,X10DAI.020917,X11DAI.021017,X13DAI.021217,X15DAI.021417,X16DAI.021517,X18DAI.021717,X21DAI.022017,X24DAI.022317,X29DAI.022817,X36DAI.030717
1,EI,EI_yes,1,B_T,39.5,3,0.7,1.8,2.2,2.1,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.5
4,EI,EI_yes,1,E_B,29.6,3,,3.2,4.5,,,,,,,,,,,,,
10,EI,EI_yes,1,B_B,29.8,2,2.1,2.5,2.3,2.5,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.7,2.7,2.8,2.7,2.8
25,EI,EI_yes,1,B_B,21.5,1,2.5,2.7,2.9,2.9,2.9,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2
26,EI,EI_yes,1,B_B,30.5,2,0.9,3.2,4.5,4.9,4.9,5,5.5,5.5,5.5,5.8,5.8,5.9,5.9,5.9,,
23,EI,EI_yes,1,B_B,24.5,2,1.7,1.9,2.1,3.1,3.4,3.3,4,4.1,,,,,,,,
22,EI,EI_yes,1,B_B,21.4,3,1.5,1.6,1.7,1.9,1.6,1.8,3.4,3.5,3.6,3.8,3.8,3.8,3.8,3.8,3.8,3.8
24,EI,EI_yes,1,B_B,20.7,1,2.6,2.8,2.9,4.4,,,,,,,,,,,,
28,EI,EI_yes,1,B_B,33.1,1,1.6,2,3.4,4,4,4,4,4,4.1,4.1,4.1,4.1,4.1,4.2,4.2,
21,EI,EI_yes,1,B_B,28.6,2,1.1,1.5,3.6,4.5,4.5,,,,,,,,,,,
40,EI,EI_yes,2,B_T,32.5,2,0.6,1.8,2.6,3,4,4.3,,,,,,,,,,
44,EI,EI_yes,2,B_T,29.6,2,2.9,2.9,2.9,3.6,3.6,3.6,3.7,3.7,3.6,3.7,3.6,4.1,4.2,4.3,,
47,EI,EI_yes,2,B_T,28,2,1.9,2.3,2.6,2.9,2.8,2.9,3,3.2,3.4,3.7,3.7,3.7,3.8,3.8,3.9,3.9
48,EI,EI_yes,2,B_T,23.5,3,1,1.4,1.9,2,1.9,1.9,1.9,2,2,2,2,2,2,,,
