plant_ID,leaf_ID,disease_type,chamber_ID,shelf_ID,timing,DAI.len.000,DAI.len.001,DAI.len.002,DAI.len.003,DAI.len.004,DAI.len.005,DAI.len.006,DAI.len.007,DAI.len.008,DAI.len.009,DAI.len.010,DAI.len.011,DAI.len.012,DAI.len.013,DAI.len.014,DAI.len.015,DAI.len.016,DAI.len.017,DAI.len.018,DAI.len.019,DAI.len.020,DAI.len.021,DAI.len.022,DAI.len.023,DAI.len.024,Censor_prethx,Death_prethx,Censor_postthx,Death_postthx
1,A,L,b,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
1,B,L,b,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
2,A,L,e,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
2,B,L,e,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
3,A,L,e,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
3,B,L,e,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
4,A,L,b,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
4,B,L,b,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
5,A,L,e,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
5,B,L,e,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
6,A,L,b,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
6,B,L,b,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
7,A,L,e,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
7,B,L,e,b,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
8,A,L,b,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
8,B,L,b,t,neg,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,0,34
9,A,L,e,b,rs1cc1,0,0,NA,0.5,1.4,1.7,1.7,1.6,NA,1.7,1.7,1.7,1.7,NA,NA,1.6,NA,1.7,1.3,NA,1.6,NA,NA,NA,NA,0,24,0,34
9,B,L,e,b,rs1cc1,0,1.3,NA,3.7,3.7,4.1,4.7,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,9
