Plant_ID,Chamber_Shelf.x,Leaf_ID,Endo_Treatment,Parasite_Treatment,Endo_Cat,Plant_Leaf,Censor,DeathDay
2,Bert_Bottom_3,1,Free,Colletotrichum,FreeFree,2 _ 1,1,19
3,Ernie_Bottom_1,1,Free,CR,FreeFree,3 _ 1,1,24
4,Bert_Bottom_1,1,Free,Rhizoctonia,FreeFree,4 _ 1,1,19
5,Bert_Top_1,1,Free,CONTROL,FreeFree,5 _ 1,0,26
6,Ernie_Top_3,1,Free,CR,FreeFree,6 _ 1,1,21
7,Bert_Top_3,1,Free,Colletotrichum,FreeFree,7 _ 1,1,19
8,Ernie_Bottom_2,1,Free,Rhizoctonia,FreeFree,8 _ 1,0,26
9,Ernie_Bottom_3,1,Free,Rhizoctonia,FreeFree,9 _ 1,1,21
12,Ernie_Top_2,1,Free,CR,FreeFree,12 _ 1,0,26
13,Bert_Top_2,1,Free,Colletotrichum,FreeFree,13 _ 1,0,26
16,Ernie_Top_1,1,Free,Rhizoctonia,FreeFree,16 _ 1,0,26
17,Ernie_Bottom_2,1,Free,CR,FreeFree,17 _ 1,1,19
18,Bert_Top_1,1,Free,Rhizoctonia,FreeFree,18 _ 1,0,26
20,Bert_Top_3,1,Free,Rhizoctonia,FreeFree,20 _ 1,1,10
21,Ernie_Bottom_3,1,Free,Colletotrichum,FreeFree,21 _ 1,1,24
22,Ernie_Top_1,1,Free,Colletotrichum,FreeFree,22 _ 1,1,24
25,Bert_Top_3,1,Free,CR,FreeFree,25 _ 1,1,19
26,Bert_Bottom_1,1,Inoculated,CR,InoculatedConfirmed,26 _ 1,1,17
27,Bert_Top_2,1,Inoculated,Rhizoctonia,InoculatedConfirmed,27 _ 1,1,26
28,Bert_Bottom_3,1,Inoculated,CR,InoculatedConfirmed,28 _ 1,1,21
29,Bert_Bottom_2,1,Inoculated,CR,InoculatedConfirmed,29 _ 1,1,12
30,Bert_Top_3,1,Inoculated,Rhizoctonia,InoculatedFree,30 _ 1,0,26
31,Bert_Bottom_1,1,Inoculated,CONTROL,InoculatedFree,31 _ 1,1,24
32,Bert_Bottom_3,1,Inoculated,Colletotrichum,InoculatedConfirmed,32 _ 1,1,26
33,Ernie_Top_1,1,Inoculated,Rhizoctonia,InoculatedConfirmed,33 _ 1,0,26
